filename,tapper,speaker,syllno,syll,p,PA
mono_G-L_left_1169,P1,G,3,ty:6,p,
mono_G-L_left_1169,P1,G,4,lIC,,
mono_G-L_left_1169,P1,G,5,baI,,
mono_G-L_left_1169,P1,G,6,al,,
mono_G-L_left_1169,P1,G,7,tn,,
mono_G-L_left_1169,P1,G,8,fRaU,p,PA
mono_G-L_left_1169,P1,G,9,@n,,
mono_G-L_left_1243,P1,G,1,je:,p,
mono_G-L_left_1243,P1,G,2,d6,,
mono_G-L_left_1243,P1,G,3,mEnS,p,
mono_G-L_left_1243,P1,G,4,kan,,
mono_G-L_left_1243,P1,G,5,bo:,p,PA
mono_G-L_left_1243,P1,G,6,dn,,
mono_G-L_left_1243,P1,G,7,vI,,
mono_G-L_left_1243,P1,G,8,Sn,,
mono_M-A_left_0004,P1,M,1,zOn,,
mono_M-A_left_0004,P1,M,2,d6n,,
mono_M-A_left_0004,P1,M,3,nu:6,,
mono_M-A_left_0004,P1,M,4,Um,,
mono_M-A_left_0004,P1,M,5,al,p,PA
mono_M-A_left_0004,P1,M,6,ta:ks,,
mono_M-A_left_0004,P1,M,7,kUl,,
mono_M-A_left_0004,P1,M,8,tu:6,p,
mono_M-A_left_0030,P1,M,1,Un,,
mono_M-A_left_0030,P1,M,2,dan,,
mono_M-A_left_0030,P1,M,3,ha:,p,
mono_M-A_left_0030,P1,M,4,b@,,
mono_M-A_left_0030,P1,M,5,IC,,
mono_M-A_left_0030,P1,M,6,nOx,,
mono_M-A_left_0030,P1,M,7,dOYtS,p,PA
mono_M-A_left_0030,P1,M,8,Un,,
mono_M-A_left_0030,P1,M,9,po:,,
mono_M-A_left_0030,P1,M,10,li:,,
mono_M-A_left_0030,P1,M,11,ti:k,p,PA
mono_M-A_left_0065,P1,M,1,d@s,,
mono_M-A_left_0065,P1,M,2,va:6,,
mono_M-A_left_0065,P1,M,3,tsi:m,p,
mono_M-A_left_0065,P1,M,4,lIC,,
mono_M-A_left_0065,P1,M,5,E,p,PA
mono_M-A_left_0065,P1,M,6,ts@nt,,
mono_M-A_left_0065,P1,M,7,@n,,
mono_M-A_left_0065,P1,M,8,IC,,
mono_M-A_left_0065,P1,M,9,vOl,p,PA
mono_M-A_left_0065,P1,M,10,t@,,
mono_M-A_left_0072,P1,M,1,a:,,
mono_M-A_left_0072,P1,M,2,b6,,
mono_M-A_left_0072,P1,M,3,dan,,
mono_M-A_left_0072,P1,M,4,ha:b,,
mono_M-A_left_0072,P1,M,5,ICs,,
mono_M-A_left_0072,P1,M,6,dOx,p,PA
mono_M-A_left_0072,P1,M,7,pRo:,,
mono_M-A_left_0072,P1,M,8,bi:6t,,
mono_M-A_left_0097,P1,M,1,aIn,,
mono_M-A_left_0097,P1,M,2,ma:l,,
mono_M-A_left_0097,P1,M,3,n,,
mono_M-A_left_0097,P1,M,4,d6,,
mono_M-A_left_0097,P1,M,5,mIt,p,PA
mono_M-A_left_0097,P1,M,6,l@,,
mono_M-A_left_0097,P1,M,7,R6n,,
mono_M-A_left_0097,P1,M,8,g@,,
mono_M-A_left_0097,P1,M,9,SIC,p,
mono_M-A_left_0097,P1,M,10,t@,,
mono_M-A_left_0153,P1,M,1,bIs,,
mono_M-A_left_0153,P1,M,2,tsU6,,
mono_M-A_left_0153,P1,M,3,tsv9lf,p,PA
mono_M-A_left_0153,P1,M,4,Un,,
mono_M-A_left_0153,P1,M,5,t6,,
mono_M-A_left_0153,P1,M,6,RIC,,
mono_M-A_left_0153,P1,M,7,tn,,
mono_M-A_left_0153,P1,M,8,k9n,p,
mono_M-A_left_0153,P1,M,9,n,,
mono_M-A_left_0167,P1,M,1,nu:6,,
mono_M-A_left_0167,P1,M,2,aIn,p,PA
mono_M-A_left_0167,P1,M,3,tsvaI,,
mono_M-A_left_0167,P1,M,4,SaI,p,
mono_M-A_left_0167,P1,M,5,n@,,
mono_M-A_left_0167,P1,M,6,me:6,p,
mono_M-A_left_0167,P1,M,7,o:,,
mono_M-A_left_0167,P1,M,8,d6,,
mono_M-A_left_0167,P1,M,9,zo:,,
mono_M-A_left_0285,P1,M,1,da:,,
mono_M-A_left_0285,P1,M,2,bIn,,
mono_M-A_left_0285,P1,M,3,C,,
mono_M-A_left_0285,P1,M,4,aUx,p,
mono_M-A_left_0285,P1,M,5,ma:,,
mono_M-A_left_0285,P1,M,6,ze:6,p,
mono_M-A_left_0285,P1,M,7,g@,,
mono_M-A_left_0285,P1,M,8,Spant,,PA
mono_M-A_left_0355,P1,M,1,IC,,
mono_M-A_left_0355,P1,M,2,fant,,
mono_M-A_left_0355,P1,M,3,Su:l,p,PA
mono_M-A_left_0355,P1,M,4,SpO6t,,
mono_M-A_left_0355,P1,M,5,I,,
mono_M-A_left_0355,P1,M,6,m6,,
mono_M-A_left_0355,P1,M,7,n,,
mono_M-A_left_0355,P1,M,8,bIs,,
mono_M-A_left_0355,P1,M,9,C@n,,
mono_M-A_left_0355,P1,M,10,do:f,p,PA
mono_M-A_left_0489,P1,M,1,a:,,
mono_M-A_left_0489,P1,M,2,b6,,
mono_M-A_left_0489,P1,M,3,s,,
mono_M-A_left_0489,P1,M,4,maxt,p,
mono_M-A_left_0489,P1,M,5,aIn,,
mono_M-A_left_0489,P1,M,6,fax,,
mono_M-A_left_0489,P1,M,7,kaI,p,
mono_M-A_left_0489,P1,M,8,n,,
mono_M-A_left_0489,P1,M,9,Spa:s,,PA
mono_M-A_left_0613,P1,M,1,C,,
mono_M-A_left_0613,P1,M,2,maIn,,
mono_M-A_left_0613,P1,M,3,kla:6,p,
mono_M-A_left_0613,P1,M,4,ds,,
mono_M-A_left_0613,P1,M,5,gi:pts,,
mono_M-A_left_0613,P1,M,6,I,p,PA
mono_M-A_left_0613,P1,M,7,m6,,
mono_M-A_left_0613,P1,M,8,baIm,,
mono_M-A_left_0613,P1,M,9,SpO6t,,PA
mono_M-A_left_0633,P1,M,1,das,,
mono_M-A_left_0633,P1,M,2,Ist,,
mono_M-A_left_0633,P1,M,3,aUs,p,PA
mono_M-A_left_0633,P1,M,4,zICts,,
mono_M-A_left_0633,P1,M,5,lo:s,,
mono_M-A_left_0633,P1,M,6,je:,p,
mono_M-A_left_0633,P1,M,7,man,,
mono_M-A_left_0633,P1,M,8,dn,,
mono_M-A_left_0633,P1,M,9,tsu:,,
mono_M-A_left_0633,P1,M,10,fIn,p,
mono_M-A_left_0633,P1,M,11,n,,
mono_M-A_left_0769,P1,M,1,a:m,,
mono_M-A_left_0769,P1,M,2,ja:,p,
mono_M-A_left_0769,P1,M,3,y:,,
mono_M-A_left_0769,P1,M,4,b6,,
mono_M-A_left_0769,P1,M,5,zo:n,,
mono_M-A_left_0769,P1,M,6,RaI,p,PA
mono_M-A_left_0769,P1,M,7,z@,,
mono_M-A_left_0769,P1,M,8,di:nst,,
mono_M-A_left_1187,P1,M,1,i:,,
mono_M-A_left_1187,P1,M,2,R@,,
mono_M-A_left_1187,P1,M,3,Sy:,p,
mono_M-A_left_1187,P1,M,4,l6,,
mono_M-A_left_1187,P1,M,5,ha,,
mono_M-A_left_1187,P1,M,6,bm,,
mono_M-A_left_1187,P1,M,7,gants,,
mono_M-A_left_1187,P1,M,8,Oft,,
mono_M-A_left_1187,P1,M,9,ti:,p,PA
mono_M-A_left_1187,P1,M,10,S96ts,,
mono_M-A_left_1240,P1,M,1,di:,p,PA
mono_M-A_left_1240,P1,M,2,In,,
mono_M-A_left_1240,P1,M,3,@m,,
mono_M-A_left_1240,P1,M,4,al,p,PA
mono_M-A_left_1240,P1,M,5,tm,,
mono_M-A_left_1240,P1,M,6,haIm,,
mono_M-A_left_1240,P1,M,7,g@,,
mono_M-A_left_1240,P1,M,8,vo:nt,,
mono_M-A_left_1240,P1,M,9,ham,p,
mono_B-A_left_0067,P2,B,1,da:,,
mono_B-A_left_0067,P2,B,2,fy:6,,
mono_B-A_left_0067,P2,B,3,ha:pt,,
mono_B-A_left_0067,P2,B,4,i:6,,
mono_B-A_left_0067,P2,B,5,gaI,,
mono_B-A_left_0067,P2,B,6,l@,,
mono_B-A_left_0067,P2,B,7,bE6,p,PA
mono_B-A_left_0067,P2,B,8,g@,,
mono_B-A_left_0081,P2,B,1,a:,,
mono_B-A_left_0081,P2,B,2,b6,,
mono_B-A_left_0081,P2,B,3,IC,,
mono_B-A_left_0081,P2,B,4,ha:p,,
mono_B-A_left_0081,P2,B,5,e:6st,,
mono_B-A_left_0081,P2,B,6,nOY,,PA
mono_B-A_left_0081,P2,B,7,lIC,,
mono_B-A_left_0081,P2,B,8,b@,,
mono_B-A_left_0081,P2,B,9,gRI,p,PA
mono_B-A_left_0081,P2,B,10,fn,,
mono_B-A_left_0173,P2,B,1,o:,,
mono_B-A_left_0173,P2,B,2,d6,,
mono_B-A_left_0173,P2,B,3,di:,,
mono_B-A_left_0173,P2,B,4,lOY,,
mono_B-A_left_0173,P2,B,5,t@,,
mono_B-A_left_0173,P2,B,6,di:,,
mono_B-A_left_0173,P2,B,7,fOm,,
mono_B-A_left_0173,P2,B,8,lant,p,PA
mono_B-A_left_0173,P2,B,9,kO,,
mono_B-A_left_0173,P2,B,10,mn,,
mono_B-A_left_0309,P2,B,1,dan,,
mono_B-A_left_0309,P2,B,2,laUf,p,PA
mono_B-A_left_0309,P2,B,3,dOx,,
mono_B-A_left_0309,P2,B,4,ma:,,
mono_B-A_left_0309,P2,B,5,n,,
mono_B-A_left_0309,P2,B,6,aI,,
mono_B-A_left_0309,P2,B,7,n@,,
mono_B-A_left_0309,P2,B,8,RaIn,p,PA
mono_B-A_left_0366,P2,B,1,zOn,,PA
mono_B-A_left_0366,P2,B,2,d6n,,
mono_B-A_left_0366,P2,B,3,de:6,,
mono_B-A_left_0366,P2,B,4,ap,p,PA
mono_B-A_left_0366,P2,B,5,Stant,,
mono_B-A_left_0366,P2,B,6,da:,,
mono_B-A_left_0366,P2,B,7,tsvI,p,
mono_B-A_left_0366,P2,B,8,S@n,,
mono_B-M_left_0300,P2,B,1,ha:p,,
mono_B-M_left_0300,P2,B,2,da:,,
mono_B-M_left_0300,P2,B,3,jEts,,
mono_B-M_left_0300,P2,B,4,fi:6,p,
mono_B-M_left_0300,P2,B,5,ja:,,PA
mono_B-M_left_0300,P2,B,6,R@,,
mono_B-M_left_0300,P2,B,7,Stu:,,
mono_B-M_left_0300,P2,B,8,di:6t,p,PA
mono_B-M_left_0355,P2,B,1,a:,,
mono_B-M_left_0355,P2,B,2,b6,,
mono_B-M_left_0355,P2,B,3,s,,
mono_B-M_left_0355,P2,B,4,lE6nt,p,PA
mono_B-M_left_0355,P2,B,5,zIC,,
mono_B-M_left_0355,P2,B,6,tsu:,,
mono_B-M_left_0355,P2,B,7,mIn,,
mono_B-M_left_0355,P2,B,8,d@st,,
mono_B-M_left_0355,P2,B,9,laICt,,PA
mono_B-M_left_0381,P2,B,1,Unt,,
mono_B-M_left_0381,P2,B,2,di:,p,PA
mono_B-M_left_0381,P2,B,3,vI6t,,
mono_B-M_left_0381,P2,B,4,jEts,,
mono_B-M_left_0381,P2,B,5,nOx,,
mono_B-M_left_0381,P2,B,6,ma:l,p,PA
mono_B-M_left_0381,P2,B,7,g@,,
mono_B-M_left_0381,P2,B,8,kY6tst,,
mono_B-M_left_0404,P2,B,1,d6,,PA
mono_B-M_left_0404,P2,B,2,nu:6,,PA
mono_B-M_left_0404,P2,B,3,fOn,,
mono_B-M_left_0404,P2,B,4,g@,,
